input_file,repetition,parallel1.out,parallel2.out,serial.out
2,1,0.000002,0.000006,0.000000
2,2,0.000004,0.000008,0.000000
2,3,0.000003,0.000006,0.000000
4,1,0.000004,0.000012,0.000001
4,2,0.000003,0.000009,0.000000
4,3,0.000003,0.000011,0.000000
8,1,0.000002,0.000013,0.000001
8,2,0.000003,0.000016,0.000001
8,3,0.000003,0.000013,0.000000
16,1,0.000003,0.000024,0.000001
16,2,0.000003,0.000034,0.000001
16,3,0.000006,0.000053,0.000001
32,1,0.000004,0.000084,0.000001
32,2,0.000004,0.000059,0.000002
32,3,0.000004,0.000063,0.000002
64,1,0.000005,0.000140,0.000004
64,2,0.000008,0.000127,0.000004
64,3,0.000005,0.000125,0.000005
128,1,0.000007,0.000261,0.000015
128,2,0.000010,0.000341,0.000014
128,3,0.000006,0.000209,0.000015
256,1,0.000028,0.000361,0.000053
256,2,0.000027,0.000400,0.000054
256,3,0.000029,0.000551,0.000053
512,1,0.000120,0.000785,0.000201
512,2,0.000066,0.001129,0.000202
512,3,0.000073,0.001121,0.000202
1024,1,0.000322,0.002753,0.000786
1024,2,0.000374,0.002497,0.000846
1024,3,0.000337,0.002212,0.000759
2048,1,0.001300,0.005247,0.002861
2048,2,0.000727,0.005209,0.002804
2048,3,0.001245,0.004790,0.002773
4096,1,0.005191,0.013377,0.011054
4096,2,0.005356,0.013468,0.011033
4096,3,0.005013,0.013272,0.011026
8192,1,0.021883,0.033587,0.044163
8192,2,0.019907,0.033363,0.043904
8192,3,0.011815,0.034003,0.043658
16384,1,0.053631,0.110495,0.174991
16384,2,0.054225,0.109635,0.173915
16384,3,0.046049,0.101964,0.174601
32768,1,0.199096,0.483302,1.047117
32768,2,0.281301,0.642828,1.135132
32768,3,0.285001,0.739369,1.067138
65536,1,1.403381,2.453667,3.735101
65536,2,1.329557,2.427137,3.758445
65536,3,1.504632,2.772985,5.107807
131072,1,8.424191,10.739499,15.915309
131072,2,6.622216,10.456529,16.465347
131072,3,5.814370,10.040026,15.217146
